name;description;origin;see also
Sanchi ginseng; root of Panax notoginseng;northern Asia;
Sandalwood, sanders; Santalum album;southern Asia;
Sandarac, pounce, citronwood; Callitris quadrivalvis;western Mediterranean;
Sappan, 'brazilwood'; Caesalpinia sappan;possibly India;
Sarsaparilla; root of Smilax spp.;America;See also China root
Sassafras; bark of Sassafras albidum;North America;See also Canela sassafras
Scotch bonnet, country pepper, habanero, piri-piri; fruit of Capsicum chinense;Central and South America;
Sesame, gingelly; seed of Sesamum indicum;east Africa or India;
Siam benzoin, gum benzoin, Siam balsam; resin of Styrax tonkinense;Indochina;
Sichuan pepper, fagara, Szechwan pepper; fruit of Zanthoxylum simulans;China;
Silphium; resin of an extinct plant cf. genus Ferula;north Africa;
Spikenard; root of Nardostachys jatamansi;Himalayas;
Star anise; fruit of Illicium verum;China;
Storax, styrax; resin of Styrax officinalis;Near East;See also Liquid storax
Sugar, cane sugar; sap of Saccharum officinarum;Malay archipelago;
Sumach; ground fruit of Rhus coriaria;Near East;
Sumatra benzoin, gum benzoin; resin of Styrax benzoin;Indonesia;
Sweet flag; root of Acorus calamus;northern Asia;
Sweet gum, liquidambar, American storax, bilsted, Honduras balsam, white Peru balsam; resin of Liquidambar styraciflua;North America;See also Storax
Sweet hoof, onycha;" operculum of Strombus lentiginosus; Eburna japonica, and other species";Indian and Pacific Oceans;
'Syrian nard'; probably Valeriana sisymbrifolia;Near East;
Tabasco pepper; fruit of Capsicum frutescens;Central America;
Tahitian vanilla; pod of Vanilla tahitensis;eastern Pacific;
Tea; leaf of Camellia sinensis;southern China;
Tejpat, malobathrum; leaf of Cinnamomum tamala;eastern Himalayas;
Tellicherry bark; Holarrhena antidysenterica;India;
Terebinth, 'turpentine'; resin of Pistaciaterebinthus;Near East;See also Bombay mastic
Tobacco; leaf of Nicotiana tabacum;Central America;See also Wild tobacco
Turmeric; root of Curcuma domestica;southern Asia;See also Yellow zedoary
Turnsole; Chrozophora tinctoria;western Mediterranean lands;
Uchu, Peruvian pepper; fruit of Capsicum pendulum;South America;
Ulupica; fruit of Capsicum cardenasii;South America;
Vanilla; fruit of Vanilla fragrans;Central America;"See also Tahitian vanilla; West Indian vanilla"
West Indian vanilla; fruit of Vanilla pompona;Caribbean;
Wild allspice, spicewood; Lindera benzoin;North America;
Wild ginger; Alpinia chinensis and other species;southern China;
Wild licorice; Abrus precatorius;Japan;
Wild tobacco; leaf of Nicotiana rustica;South America;
Yellow zedoary, wild turmeric; Curcuma aromatica;eastern India;
Zachum oil, Egyptian balsam; Balanites aegyptiaca;Near East;
Zedoary, 'setwall'; root of Curcuma zedoaria;India;See also Yellow zedoary
Zerumbet, kuchoora; root of Zingiber zerumbet;India;
