name;description;origin;see also
Camphor, Chinese camphor; crystallized resin of Cinnamomum camphora;China;
Candy carrot; seed of Athamanta cretensis;Crete;
cane sugar; see Sugar;;
Canela;" Ocotea sassafras; Ocotea usambarensis";"Brazil; east Africa";
Canella, white cinnamon; Canella winterana;Caribbean;
Cannabis, hemp, ganja; Cannabis sativa;eastern Europe;
Canton rhubarb; see Rhubarb root;;
Carap, white crabwood; Carapa guianensis;Central and South America;
Caraway; seed of Carum carvi;central Europe;
Cardamom; fruit of Elettaria cardamomum;southern Asia;"See also Bastard cardamom; Bengal cardamom; Cambodian cardamom; Cameroon cardamom; Ethiopian cardamom; Kepulaga; Madagascar cardamom; Nepaul cardamom"
cassia;" see Chinese cinnamon; Padang";;
Castoreum; secretion of Castor fiber;Europe and Asia;
Cayenne pepper; see Chilli;;
Cekur, kencur; root of Kaempferia galanga;India;
'Celtic nard'; probably Valeriana celtica;southern Europe;
Ceylon cinnamon; see Cinnamon;;
chile pepper; see Chilli;;
Chilli, ancho, Cayenne pepper, chile pepper, jalapeño, paprika, *pepper, *pimento, red pepper; fruit of Capsicum annuum;Central America;See also Rocoto, Scotch bonnet, Tabasco pepper, Uchu, Ulupica
China root, Chinese sarsaparilla; Smilax pseudo-china;eastern Asia;
Chinese camphor; see Camphor;;
Chinese cardamom; fruit of Amomum globosum;China;
Chinese cinnamon, cassia;" bark of Cinnamomum cassia; C. chekiangense and other species";China;
Chinese parsley; see Coriander;;
Chinese pepper, *fagara; fruit of Zanthoxylum armatum;Zanthoxylum planispinum and other species, China;
Chinese sarsaparilla; see China root;;
Chios balm; see Cyprus balm;;
Chocolate; seed of Theobroma Cacao;Central America;See also Nicaragua chocolate
cilantro; see Coriander;;
Cinnamon, Ceylon cinnamon; bark of Cinnamomum zeylanicum;Sri Lanka;"See also Canela; Canella; Chinese cinnamon; Padang cinnamon: Saigon cinnamon"
Citronella oil, nard grass; Cymbopogon nardus and C. winterianus;southern Asia;
Civet; secretion of Viverra civetta and other species;Africa and Asia;
Cloves; bud of Syzygium aromaticum;northern Moluccas;
Coca; leaf of Erythroxylum coca and E. novogranatense;South America;
Cochineal; Dactyiopus coccus;Central America;
Coffee, Arabica coffee; seed of Coffea arabica;north-east Africa;See also Robusta coffee
Coriander, cilantro; fruit of Coriandrum sativum;eastern Mediterranean;
Costmary; leaf of Tanacetum balsamina;perhaps Near East;
costus; see Putchuk;;
country pepper; see Scotch bonnet;;
Cubebs; fruit of Piper cubeba;Indonesia;See also Ashanti pepper
Cumin; seed of Cuminum cyminum;southern Europe;
Cyprus balm, *Chios balm, tsikoudia; resin of Pistacia atlantica;Mediterranean lands;
Dragon's blood;" juice of Dracaena cinnabari; D. schizantha and D. draco";north-east Africa, Socotra and Canary Islands;
eaglewood; see Aloeswood;;
Egyptian balsam; see Zachum oil;;
Egyptian thorn; see Gum arabic;;
Elecampane; leaf of Inula helenium;Europe;
Elemi, brea, Manila resin;" Canarium luzonicum; C. commune and other species";Malay archipelago;
Ethiopian cardamom, Korarima cardamom; fruit of Aframomum korarima;Ethiopia;
Ethiopian cumin; see Ajowan;;
fagara;" see Chinese pepper; Japanese pepper; Sichuan pepper";;
false myrrh; see Opopanax;;
Frankincense, olibanum;" resin of Boswellia carterii; B. frereana and B. sacra";Arabia and north-east Africa;
galanga, galingale;" see Greater galanga; Lesser galanga";;
Galbanum; resin of Ferula galbaniflua;Iran;
ganja; see Cannabis;;
gharroowood; see Aloeswood;;
Giant fennel; Ferula communis;north Africa;
gingelly; see Sesame;;
Ginger; root of Zingiber officinale;China;See also Wild ginger
Ginger-grass; root of Cymbopogon schoenanthus;south-west Asia;
Ginseng; root of Panax ginseng and P. pseudoginseng;northern Asia;"See also American ginseng; Sanchi ginseng"
gith; see Nigella;;
Gorka; fruit of Garcinia pictoria;south-east Asia;
Grains of Paradise, Guinea grains, *Guinea pepper, *Melegueta pepper; fruit of Aframomum melegueta;west Africa;
Grains of Selim, Ethiopian pepper, habzeli, kimba pepper, xylopia; fruit of Xylopia aethiopica;Africa;
greater cardamom; see Nepaul cardamom;;
Greater galanga, galanga, laos, lengkuas; root of Alpinia galanga;south-east Asia;
Guaiacum; resin of Guaiacum offlcinale;Caribbean;
guggul; see Gum guggul;;
Guinea grams; see Grains of Paradise;;
Guinea pepper;" see Ashanti pepper; Benin pepper; Grains of Paradise";;
Gum ammoniac; juice of Dorema ammoniacum;Near East;
Gum arabic, Egyptian thorn; Acacia nilotica;Red Sea shores;
gum benzoin;" see Siam benzoin; Sumatra benzoin";;
Gum guggul, bdellium; resin of Commiphora mukul;Sind;
Gum tragacanth; resin of Astragalus gummifer;and other species, southwest Asia;
Gumbo-limbo resin; Bursera simaruba;Caribbean;
habañero; see Scotch bonnet;;
habzeli; see Grains of Selim;;
hemp; see Cannabis;;
hing; see Asafoetida;;
Honduras balsam; see Sweet gum;;
horns of abath; see Rhinoceros horn;;
Horseradish; root of Armoracia rusticana;northern Eurasia;
Hypocistis; juice of Cytinus hypocistis;Europe;
iris root; see Orris;;
jalapeño; see Chilli;;
Jamaica pepper; see Allspice;;
Japanese pepper, *fagara; fruit of Zanthoxylum piperitum;Japan;
"Japanese star anise; shikimi"; fruit of Illicium anisatum;Japan;
Jasmine; flower of ]asminum officinale;central Asia;See also Sambac
Java cinnamon; see Padang cinnamon;;
Java long pepper; fruit of Piper retrofractum;Indonesia;
Juniper berry; Juniperus communis;and other species, Eurasia;
kalamos; see 'Calamus';;
Kao-liang ginger; Alpinia kumatake;China;
Karanda; fruit of Carissa carandas;India;
Kava; Piper methysticum;Pacific islands;
kencur; see Cekur;;
Kepulaga, round cardamom, Siam cardamom; fruit of Amomum compactum;Indonesia;
kimba pepper; see Grains of Selim;;
Korarima cardamom; see Ethiopian cardamom;;
kuchoora; see Zerumbet;;
kushth; see Putchuk;;
Ladanum, *amber; resin of Cistus ladaniferus;Arabia;
Lakawood; Dalbergia parviflora;southern Asia;
laos; see Greater galanga;;
Lemon grass; root of Cymbopogon citratus;southern Asia;
lengkuas; see Greater galanga;;
Lentisk, shina oil; Pistacia lentiscus;Near East;
Lesser galanga, galanga; root of Alpinia officinarum;China;
Levant storax; see Liquid storax;;
Licorice; root of Glycyrrhiza glabra;Russia;See also Wild licorice
Liquid storax, Levant storax; resin of Liquidambar orientalis;Near East;
liquidambar;" see Sweet gum; Liquid storax";;
locoto; see Rocoto;;
Long pepper; fruit of Piper longum;India;See also Java long pepper
mace; see Nutmeg;;
Madagascar cardamom; fruit of Aframomum angustifolium;Madagascar;
malobathrum; see Tejpat;;
Manila resin; see Elemi;;
Mastic; resin of Pistacia lentiscμs var. chia;Greece;"See also Bombay mastic; Peruvian mastic"
Mechoacan; root of Ipomoea jalapa;Central America;
Melegueta pepper; see Grains of Paradise;;
Mioga ginger; shoots of Zingiber mioga;China;
Musk; secretion of Moschus moschiferus;and other species, Asia;
musk mallow; see Ambrette;;
Mustard;" seed of Brassica hirta; B. juncea and B. nigra";Eurasia;
Myrrh; resin of Commiphora myrrha and other species;Arabia and north-east Africa;See also Opopanax
Myrtle; fruit of Myrtus communis;southern Europe;
nard;" see spikenard; Celtic nard; Syrian nard";;
nard grass; see Citronella oil;;
Nepaul cardamom, greater cardamom; fruit of Amomum subulatum;Himalayas;
Nicaragua chocolate, pataxte, Peru cacao; seed of Theobroma bicolor;Central America;
Nigella, gith, *black cumin, *onion seed; seed of Nigella sativa;Near East;
nikkel oil; see Saigon cinnamon;;
Nutmeg, mace; fruit of Myristica fragrans;Banda islands;
oil of bay; see Bay rum tree;;
olibanum; see Frankincense;;
omum; see Ajowan;;
onion seed; see Nigella;;
onycha; see Sweet hoof;;
opium; see Poppy seed;;
Opopanax, African bdellium, bissabol, false myrrh; resin of Commiphora erythraea and C. kataf;north-east Africa and Arabia;
Oriental sweet gum; see Storax;;
Orris, iris root; Iris germanica var. florentina and other species;Europe;
Padang cinnamon, Batavia cinnamon, Java cinnamon; bark of Cinnamomum burmannii;Indonesia;
Palmarosa oil, rosha grass; root of Cymbopogon martini;southern Asia;
Panama wood; Quillaja saponaria;South America;
Pandanus, screwpine; leaf of Pandanus tectorius;southern Asia;
paprika; see Chilli;;
pataxte; see Nicaragua chocolate;;
Patchouli; essential oil of Pogostemon cablin;south-east Asia;
pepper; fruit of Piper clusii;west Africa;
Pepper, black pepper, white pepper; fruit of Piper nigrum;lndia;"See also Allspice; Ashanti pepper; Benin pepper Chilli; Chinese pepper; Grains of Selim; Japanese pepper; Java long pepper; Long pepper; Melegueta pepper; Pink peppercorns; Scotch bonnet; Sichuan pepper; Tabasco pepper; Uchu"
Peru cacao; see Nicaragua chocolate;;
Peruvian pepper, California pepper; fruit of Schinus molle;Peru;See also Uchu
pimento;" see Allspice; Chilli";;
Pine kernel; seed of Pinus pinea;Europe;
Pink peppercorns, red peppercorns, baies roses, Brazilian pepper; fruit of Schinus terebinthif olius;Brazil;
piri-piri; see Scotch bonnet;;
Poppy seed, opium; Papaver somniferum;Europe;
Putchuk, costus, kushth; root of Saussurea lappa;Kashmir;
red pepper; see Chilli;;
red peppercorns; see Pink peppercorns;;
Red sanders; wood of Pterocarpus santalina;India;
Rhinoceros horn, 'horns of abath'; Rhinoceros spp.;southern Asia;
Rhubarb root, Canton rhubarb; Rheum officinale;Tibet;
Robusta coffee; seed of Coffea canephora;?;
rock rose; see ladanum;;
Rocoto, locoto, apple chilli; fruit of Capsicum pubescens;high Andes;
rose; see Attar of roses;;
Rose-mallows; wood of Altingia excelsa;south-east Asia;
rosha grass; see Palmarosa oil;;
round cardamom; see Kepulaga;;
safflower; Carthamus tinctorius;Asia or Europe;
Saffron; stamen of Crocus sativus;Near East;
Sagapenum; resin of Ferula persica;Iran;
Saigon cinnamon, cassia, nikkel oil; Cinnamomum loureirii;Indochina;
Salep;" root of Orchis morio; O. latifolia and other species";Near East;
Sambac, zambac; flower of Jasminum sambac;south-west Asia;
Sanchi ginseng; root of Panax notoginseng;northern Asia;
Sandalwood, sanders; Santalum album;southern Asia;
Sandarac, pounce, citronwood; Callitris quadrivalvis;western Mediterranean;
sanders;" see Red sanders; Sandalwood";;
Sappan, 'brazilwood'; Caesalpinia sappan;possibly India;
Sarsaparilla; root of Smilax spp.;America;See also China root
Sassafras; bark of Sassafras albidum;North America;See also Canela sassafras
'Scented cane'; see 'Calamus';;
Scotch bonnet, country pepper, habanero, piri-piri; fruit of Capsicum chinense;Central and South America;
screwpine; see Pandanus;;
Sesame, gingelly; seed of Sesamum indicum;east Africa or India;
setwall; see Zedoary;;
shina oil; see Lentisk;;
Siam benzoin, gum benzoin, Siam balsam; resin of Styrax tonkinense;Indochina;
Siam cardamom; see Kepulaga;;
Sichuan pepper, fagara, Szechwan pepper; fruit of Zanthoxylum simulans;China;
Silphium; resin of an extinct plant cf. genus Ferula;north Africa;
Spicewood; see Wild allspice;;
Spikenard; root of Nardostachys jatamansi;Himalayas;
Star anise; fruit of Illicium verum;China;
Storax, styrax; resin of Styrax officinalis;Near East;See also Liquid storax
Sugar, cane sugar; sap of Saccharum officinarum;Malay archipelago;
Sumach; ground fruit of Rhus coriaria;Near East;
Sumatra benzoin, gum benzoin; resin of Styrax benzoin;Indonesia;
Sweet flag; root of Acorus calamus;northern Asia;
Sweet gum, liquidambar, American storax, bilsted, Honduras balsam, white Peru balsam; resin of Liquidambar styraciflua;North America;See also Storax
Sweet hoof, onycha;" operculum of Strombus lentiginosus; Eburna japonica, and other species";Indian and Pacific Oceans;
'Sweet reed'; see 'Calamus';;
'Syrian nard'; probably Valeriana sisymbrifolia;Near East;
Szechwan pepper; see Sichuan pepper;;
Tabasco pepper; fruit of Capsicum frutescens;Central America;
Tahitian vanilla; pod of Vanilla tahitensis;eastern Pacific;
Tea; leaf of Camellia sinensis;southern China;
Tejpat, malobathrum; leaf of Cinnamomum tamala;eastern Himalayas;
Tellicherry bark; Holarrhena antidysenterica;India;
Terebinth, 'turpentine'; resin of Pistaciaterebinthus;Near East;See also Bombay mastic
Tobacco; leaf of Nicotiana tabacum;Central America;See also Wild tobacco
tragacanth; see Gum tragacanth;;
tsikoudia; see Cyprus balm;;
Turk terebinth; see Bombay mastic;;
Turmeric; root of Curcuma domestica;southern Asia;See also Yellow zedoary
Turnsole; Chrozophora tinctoria;western Mediterranean lands;
turpentine;" see Bombay  mastic; Terebinth";;
Uchu, Peruvian pepper; fruit of Capsicum pendulum;South America;
Ulupica; fruit of Capsicum cardenasii;South America;
Vanilla; fruit of Vanilla fragrans;Central America;"See also Tahitian vanilla; West Indian vanilla"
West African pepper; see Benin pepper;;
West Indian bay; see Bay rum tree;;
West Indian vanilla; fruit of Vanilla pompona;Caribbean;
white cinnamon; see Canella;;
white pepper; see Pepper;;
white Peru balsam; see Sweet gum;;
Wild allspice, spicewood; Lindera benzoin;North America;
Wild ginger; Alpinia chinensis and other species;southern China;
Wild licorice; Abrus precatorius;Japan;
Wild tobacco; leaf of Nicotiana rustica;South America;
xylopia; see Grains of Selim;;
Yellow zedoary, wild turmeric; Curcuma aromatica;eastern India;
Zachum oil, Egyptian balsam; Balanites aegyptiaca;Near East;
Zedoary, 'setwall'; root of Curcuma zedoaria;India;See also Yellow zedoary
Zerumbet, kuchoora; root of Zingiber zerumbet;India;
