include,v,do,id,powo,taxon_name,taxon_authors,species_syn,species_alt,group,item,description,related,also,source,petruzzello,hill,dalby,vanwyk,anderson,katzer,ucla,polyu,freq,category,tag,comment,kingdom,part,wikipedia,britannica,common_names,wyk_name,dalby_name,hill_name,anderson_name,katzer_name,amar_name,hu_name,wiki_name,other_name,etymologies,wiktionary,plant name,region_of_origin,origin dalby,lat,lon,location,macroarea,cultivation,color,taste_smell,heat,major_uses,ill_source,ill_page,ill_key,ill_link,other_links,wn_plant,wn,wn_comment,English,en_alt,Arabic,ar,ar_literal,ar_alt,Chinese,zh,zh_literal,zh_alt,zh_notes,Hungarian,hu_literal,hu_alt,hu_notes,Cantonese,yu,yu literal,notes,operative,pharmaceutical,tcm,tcm_db,tcm_url,tcm_zh,tcm_pinyin,tcm_en,tcm_desc,medicinal_group,nature_and_flavors,meridian_affinity,action,foc,hu_history_1990,year recorded in TCM,ayurveda,gbif,trop,eol,ncbi,Hindi,hi,hi literal,Hi alt ,Indonesian,Persian
inn,75.0,,,,Syzygium aromaticum,(L.) Merr. & L.M.Perry,Eugenia aromatica (L.) Baill.; Eugenia cayophyllata Thunb.,,,clove,"the dried flower-buds of a tropical tree from the Moluccas, Indonesia; bud of Syzygium aromaticum",,nutmeg; mace,vanwyk_2014_culinary,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,8,spice,culinary; medicinal,,Plantae,flower buds,https://en.wikipedia.org/wiki/Clove,https://www.britannica.com/plant/clove,clove; cloves,clove(s),Cloves,,,,,,,,clove; qaranful; dingxiang,,clove tree,"N. Moluccas, Indonesia",,1.0,127.0,Moluccas,Asia,Indonesia; Malaysia; Tanzania,"rich, reddish brown","sweet, pungent, astringent",5,"meats, sauces; anesthetic",Köhler's Medizinal-Pflanzen,II 125,koehler_1887_koehler,https://www.biodiversitylibrary.org/item/10837#page/595/mode/1up,,clove.n.02,clove.n.04,,clove,,قرنفل,qaranful,,,丁香,dīngxiāng,nail-spice,,Hu: 母丁香; 丁香 (雄丁香),szegfűszeg,nail-grass-nail,,"Originally *szegfűszer*, where *fűszer* is the standard Hungarian word for 'spice'",,,,,,Caryophylli Flos,1.0,polyu-tcm,https://herbaltcm.sn.polyu.edu.hk/herbal/clove,丁香,dīngxiāng,Clove,Dried flower bud of Eugenia cayophyllata Thunb. (Fam. Myrtaceae),Interior-warming medicina,pungent; warm,"Spleen, Stomach, Lung, Kidney","To warm the middle-energizer, check adverse rise of the stomach-qi, and restore the kidney yang",,yes,973,,https://www.gbif.org/species/3183002,https://tropicos.org/name/22102278,https://eol.org/pages/2508665,219868.0,लौंग,laung,,,cengkih,میخک صدپر
inn,65.0,,,,Coriandrum sativum,L.,,,,coriander,"the dried fruits of an annual herb, also known as cilantro",,,vanwyk_2014_culinary,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,7,spice,culinary,,Plantae,fruit,https://en.wikipedia.org/wiki/Coriander,https://www.britannica.com/plant/coriander,coriander seeds; cilantro; Chinese parsley,coriander; cilantro; Chinese parsley,"Coriander, cilantro",,,,,,,,coriander; kuzbura; yansui; husui,,coriander,E. Mediterranean; W. Asia,,40.0,45.0,Armenia,Asia,Argentina; India; Morocco; Romania; Spain; Yugoslavia,light yellow,"warm, aromatic, sweet",1,curries; anti-microbial,Köhler's Medizinal-Pflanzen,II 145,koehler_1887_koehler,https://www.biodiversitylibrary.org/item/10837#page/635/mode/1up,,coriander.n.01,coriander.n.02,,coriander,,كزبرة,kuzbara,,,芫荽,yán​sui,lilac-coriander,,胡荽 (芫荽); 芫荽仁 (芫荽子),koriander,,cigánypetrezselyem [gipsy-parsley],,,,,,,Fructus Coriandri; Semen Coriandri,,,,芫荽子,yán​suizǐ,,,,,,,,yes,1061,,https://www.gbif.org/species/3034871,https://tropicos.org/name/1700064,https://eol.org/pages/581687,4047.0,धनिया ,dhaniyā,,,ketumbar,گشنیز 
in,62.0,,,,Piper cubeba,L.f.,Cubeba officinalis Miq.,,false peppers,cubeb,"the dried berries of a Southeast Asian plant resembling black pepper, but with a small stalk attached",pepper,Ashanti pepper,vanwyk_2014_culinary,0.0,1.0,1.0,1.0,1.0,1.0,1,0.0,6,spice,culinary; distillery; medicinal; perfumery,,Plantae,unripe fruit,https://en.wikipedia.org/wiki/Piper_cubeba,,cubeb pepper; tailed pepper; Java pepper,cubeb pepper; tailed pepper; Java pepper,Cubebs,,,,,,,cubeb,cubeb,https://en.wiktionary.org/wiki/cubeb,cubeb; tailed pepper,Southeast Asia,,0.0,101.0,Sumatra,Asia,Indonesia,dark brown to black,"pungent, camphor-like, peppery",3,"gins; cooking; anti-asthma, diuretic",Köhler's Medizinal-Pflanzen (1887),II 103,koehler_1887_koehler,https://www.biodiversitylibrary.org/item/10837#page/549/mode/1up,,cubeb.n.02,cubeb.n.01,,cubeb,,كبابة,"kabāba, kubāba",,,蓽澄茄,bìchéngqié,,尾胡椒,https://en.wiktionary.org/wiki/%E8%93%BD%E6%BE%84%E8%8C%84,kubébabors,cubeba-pepper,jávai bors [Javanese pepper],,,,,,,,,,,,,,,,,,,,,,,https://www.gbif.org/species/7606629,http://legacy.tropicos.org/Name/25002639,https://eol.org/pages/51845162,,कबाबचीनी ,kabābchīnī,Chinese-cubeb,,kemukus,کبابهٔ چینی‎
inn,59.0,,,,Cuminum cyminum,L.,,,,cumin,the dried seeds of a West Asian flowering plant,caraway,,vanwyk_2014_culinary,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,7,spice,culinary,,Plantae,fruit,https://en.wikipedia.org/wiki/Cumin,https://www.britannica.com/plant/cumin,brown cumin,cumin,Cumin,,,,,,,"cumin, brown",cumin; kammun; ziran,https://en.wiktionary.org/wiki/cumin,cumin,S. Europe; W. & C. Asia; India,,36.0,51.0,Tehran,Asia,India; Iran; Lebanon,light brown,"peppery, aromatic",4,"curries, breads; colic",Köhler's Medizinal-Pflanzen,III 23,koehler_1887_koehler,https://www.biodiversitylibrary.org/item/10838#page/421/mode/1up,,cumin.n.01,cumin.n.02,,cumin,,كمون ,kammūn,,,孜然,zī​rán,,,,római kömény,Roman cumin,,egyiptomi kömény [Egyiptian cumin],,,,,,Fructus Cumini,,,,,,,,,,,,,,,,https://www.gbif.org/species/3034775,,https://eol.org/pages/488085,52462.0,जीरा,jīrā,,,jintan putih,
inn,67.0,,,,Foeniculum vulgare,Mill.,,,,fennel,the dried fruits of a perennial herb,,,vanwyk_2014_culinary,1.0,1.0,,1.0,1.0,1.0,1,1.0,7,spice,culinary,,Plantae,fruit,https://en.wikipedia.org/wiki/Fennel,https://www.britannica.com/plant/fennel,fennel (seeds),fennel,,,,,,,,,fennel; shamar; huixiang,,fennel,Mediterranean,,35.0,39.0,Syria,Med.; W. Asia,Argentina; Bulgaria; Germany; Greece; India; Lebanon,light green to light brown,"licorice-like, warm",1,"fish, breads, sausages; colic",Köhler's Medizinal-Pflanzen,II 88,koehler_1887_koehler,https://www.biodiversitylibrary.org/item/10837#page/515/mode/1up,,fennel.n.01,fennel.n.04,,fennel,,شمر,shamar,,,茴香,huíxiāng,hui-spice,小茴香 *xiǎohúixiāng* [little-hui-spice],小茴香 (小茴)； 槐香 (茴香); 茴香 (小茴香) ,édeskömény,sweet-cumin,ánizskapor [anise-dill],,,,,"Macaronesia, Medit. to Ethiopia and W. Nepal.",,Fructus Foeniculi; Foeniculi Fructus,1.0,polyu-tcm,,小茴香,xiǎo​huí​xiāng,Fennel,Dried ripe fruit of Foeniculum vulgare Mill. (Fam. Apiaceae),Interior-warming medicinal,pungent; warm,"Liver, Spleen, Kidney, Stomach",,,yes,659,,,,,2849586.0,सौंफ़,saunf,fennel,,adas; jintan manis?,رازیانه، بادیانه، بادیان
inn,46.0,,,,Trigonella foenum-graecum,L.,,,,fenugreek,the seeds of a West Asian herb,,,vanwyk_2014_culinary,1.0,1.0,,1.0,,1.0,1,,5,spice; herb,culinary,,Plantae,seed; leaf,https://en.wikipedia.org/wiki/Fenugreek,https://www.britannica.com/plant/fenugreek,fenugreek (seeds),fenugreek,,,,,,,,,fenugreek; hulba; huluba,,fenugreek,S. Europe; W. Asia,,33.0,44.0,Iraq,Asia,India,yellow seeds,"like burnt sugar, bitter",2,"curries, breads; diabetes",Köhler's Medizinal-Pflanzen,II 155,koehler_1887_koehler,,,fenugreek.n.01,fenugreek.n.02,,fenugreek,,حلبة,ḥulba,,,胡蘆巴,húlúbā,,,,görögszéna,greek-hay,,,,,,,,,,,,,,,,,,,,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200012345,yes,1061,,,,,78534.0,,,,,"From Malay adas (“fennel”), from Arabic عَدَس‎ (ʿadas, “lentil”), possibly via Persian عدس‎.",
inn,74.0,,,,Zingiber officinale,Roscoe,,,,ginger,"the aromatic rhizomes of the ginger plant, fresh or dried",turmeric,wild ginger,vanwyk_2014_culinary,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,8,spice,culinary; medicinal,,Plantae,rhizome,https://en.wikipedia.org/wiki/Ginger,https://www.britannica.com/plant/ginger,ginger; common ginger,ginger; common ginger,Ginger,,,,,,,,ginger; zanjabil; jiang,,common ginger,Southeast Asia; India (secondary),,26.0,93.0,Assam,Asia,India; Jamaica; Nigeria; Sierra Leone,"light yellow when fresh, beige when powdered","fiery, pungent",7,Asian cooking; anti-emetic,Köhler's Medizinal-Pflanzen,II 172,koehler_1887_koehler,https://www.biodiversitylibrary.org/item/10837#page/693/mode/1up,,ginger.n.01,ginger.n.02,ginger.n.03,ginger,,زنجبيل,zanjabīl,,,薑,jiāng,,,,gyömbér,,,,,,,,,Rhizoma Zingiberis ,1.0,polyu-tcm,https://herbaltcm.sn.polyu.edu.hk/herbal/zingiber-dried-ginger; https://herbaltcm.sn.polyu.edu.hk/herbal/fresh-ginger,乾薑,gānjiāng,Zingiber (Dried Ginger),Dried rhizome of Zingiber officinale (Willd.) Rosc. (Fam. Zingiberaceae),Interior-warming medicinal,pungent; hot,"Heart, Lung, Kidney, Stomach","To warm the middle and dissipate cold, promote recovery from collapse, and eliminate damp and resolve phlegm",,,?,yes,https://www.gbif.org/species/2757280,https://tropicos.org/name/34500018,https://eol.org/pages/987032,94328.0,अदरक ,adrak,,,jahe,زنجبیل 
inn,43.0,,5,https://powo.science.kew.org/taxon/795279-1,Alpinia galanga,(L.) Willd.,,,cardamoms,greater galangal,"the rhizomes of a tropical, medicinal plant; the seeds are used in TCM",,,vanwyk_2014_culinary,,1.0,1.0,1.0,,1.0,1,1.0,6,spice,culinary; medicinal,,Plantae,rhizome; fruit,,,greater galangal; galangal; greater galanga; galanga; galingale; laos;lengkuas,galangal; greater galangal,"Greater galanga, galanga, laos, lengkuas, +galingale",,,,galingale,,,,,,,Trop As,SEA,,,,,,,"gingery, camphor-like",5,Indonesian curries; anti-emetic,,,,,,,,,,,خولنجان,"khūlanjān, khawlanjān",amar_arabian_2017,,红豆蔻,hóngdòukòu,red-cardamom,,,,,,,,,,,,Galangae Fructus,1.0,polyu-tcm,https://herbaltcm.sn.polyu.edu.hk/herbal/galangal-fruit,红豆蔻,hóngdòukòu,Galangal Fruit,Dried ripe fruit of Alpinia galanga Willd. (Fam. Zingiberaceae),Dampness-resolving medicinal,pungent; warm,"Spleen, Lung","To dispel damp-cold, invigorate the function of the spleen, and promote disgestion",http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200028269,,,,,,,,,,,,,
inn,14.0,,,https://powo.science.kew.org/taxon/795588-1,Amomum maximum,Roxb.,,,cardamoms,Java cardamom,,,,vanwyk_2014_culinary,,,,1.0,,,,,1,spice,culinary; ornamental,,Plantae,fruit & seed,,,Java cardamom,Java cardamom,,,,,,,,,,,,Trop As,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inn,26.0,,,,Piper retrofractum,Vahl,Piper chaba W.Hunter,,,Javanese long pepper,fruit of Piper retrofractum,,,vanwyk_2014_culinary,,,1.0,1.0,1.0,,,,3,spice,culinary,,Plantae,fruit,https://en.wikipedia.org/wiki/Piper_retrofractum,,,Javanese long pepper; Balinese long pepper,Java long pepper,,Java long pepper; chui jhal pepper; dee plee,,,,,"cabai/cabe, cabe jawa",,,,SE As,Indonesia,-8.0,111.0,Java,Asia,https://en.wikipedia.org/wiki/Piper_retrofractum,,,!!!!!!!!!!,,,,,,,,,,Javanese long pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
